Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2016,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,"Gold Coast Bulletin, 7/28/2016",Jul ,N
2016,Unprovoked,JAPAN,Kochi Prefecture,Board involved activity,M,Random or not clear time references,"Japan Times, 7/25/2016",Jul ,N
2016,Unprovoked,AUSTRALIA,Tasmania,Board involved activity,M,,"C. Black, GSAF",Jul ,N
2016,Unprovoked,BAHAMAS,Abaco Islands,Fishing related,M,,"KWTX, 7/23/2016",Jul ,N
2016,Provoked,AUSTRALIA,Queensland,Fishing related,M,Afternoon,"Nine News, 7/20/2016",Jul ,N
2016,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"Orlando Sentinel, 7/21/2016",Jul ,N
2016,Unprovoked,USA,Florida,,F,Morning,"Orlando Sentinel, 7/21/2016",Jul ,N
2016,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Jul ,N
2016,Unprovoked,USA,South Carolina,Swimming related,M,,"C. Creswell, GSAF",Jul ,N
2016,Unprovoked,SPAIN,Canary Islands,Beach activities,F,,La Opinion de Tenerife,Jul ,N
2016,Boating,USA,California,Fishing related,M,,"R. Collier, GSAF",Jul ,N
2016,Provoked,USA,Massachusetts,Fishing related,M,Morning,Salem News 7/8/2016,Jul ,N
2016,Boating,USA,California,Fishing related,M,,"R. Collier, GSAF",Jul ,N
2016,Unprovoked,USA,Florida,Swimming related,F,Afternoon,"Florida Today, 7/6/2016",Jul ,N
2016,Provoked,AUSTRALIA,Queensland,Fishing related,M,Nightime,"Cairns Post, 7/9/2016",Jul ,N
2016,Unprovoked,USA,South Carolina,,M,Afternoon,"C. Creswell, GSAF",Jun ,N
2016,Unprovoked,USA,North Carolina,Board involved activity,M,Afternoon,"C. Creswell, GSAF",Jun ,N
2016,Unprovoked,COLUMBIA,Isla Provedencia,Diving activities,M,Morning,Dr. A. Velez,Jun ,N
2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing related,M,,"News 24, 6/23/2016",Jun ,N
2016,Unprovoked,USA,South Carolina,Floating,M,Afternoon,"C. Creswell, GSAF",Jun ,N
